id,category,author,title,cover,inventory,threshold,price
91,book,Camille T. Dungy,Black Nature,,20,10,14.87
92,book,George McMichael,Anthology of American Literature Volume II,,20,10,92.20
93,book,Martin Gardner,Best Remembered Poems,,20,10,5.94
94,book,Harold Clurman,Nine Plays of the Modern Theater: Waiting for Godot; The Visit; Tango; The Caucasian Chalk Circle; The Balcony; Rhinoceros; American Buffalo; The Birthday Party; Rosencrantz and Guildenstern are Dead,,20,10,15.00
95,book,Sandra M. Gilbert,The Norton Anthology of Literature by Women: The Traditions in English  Vol. 2,,20,10,59.65
96,book,Phillip Lopate,Writing New York: A Literary Anthology,,20,10,24.02
97,book,Mary Oliver,The Best American Essays 2009,,20,10,
98,book,Edward C. Goodman,The Hudson River Valley Reader,,20,10,
99,book,David Wagoner,The Best American Poetry 2009,,20,10,16.00
100,book,Robert Shapard,Sudden Fiction Latino: Short-Short Stories from the United States and Latin America,,20,10,11.05
101,book,Arnold Adoff,I Am the Darker Brother: An Anthology of Modern Poems by African Americans,,20,10,5.84
102,book,William L. Andrews,Classic American Autobiographies,,20,10,6.94
103,book,Editors Of Mental Floss,Mental Floss: Scatterbrained,,20,10,10.72
104,book,Ann Charters,The Portable Sixties Reader,,20,10,13.79
105,book,Annie Dillard,Modern American Memoirs,,20,10,11.99
106,book,Philip Zaleski,Best American Spiritual Writing 2007,,20,10,
107,book,Jerome Klinkowitz,The Norton Anthology of American Literature: Volume D: 1914-1945,,20,10,37.77
108,book,John Schilb,Making Literature Matter: An Anthology for Readers and Writers,,20,10,
109,book,Luis Valdez,Luis Valdez - Early Works: Actos  Bernabe and Pensamiento Serpentino,,20,10,4.90
110,book,Rebecca Mlynarczyk,In Our Own Words: Student Writers at Work,,20,10,33.09
111,book,Toni Press-Coffman,Touch,,20,10,7.20
112,book,George Perkins,The American Tradition in Literature  Volume 1(book alone),,20,10,100.79
113,book,J. D. McClatchy,The Four Seasons: Poems,,20,10,11.16
114,book,Lawrence Senelick,The American Stage: Writing on Theater from Washington Irving to Tony Kushner,,20,10,29.30
115,book,Tony Medina,Bum Rush the Page: A Def Poetry Jam,,20,10,14.95
116,book,Alan Kaufmann,The Outlaw Bible of American Literature,,20,10,16.92
117,book,Kenneth E. Hartman,Mother California: A Story of Redemption Behind Bars,,20,10,14.00
118,book,Walter Mosley,The Best American Short Stories 2003,,20,10,21.95
119,book,Paula Gunn Allen,Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,,20,10,10.31
120,book,Emilie Buchwald,Transforming a Rape Culture,,20,10,15.13
121,book,Molly O'Neill,American Food Writing: An Anthology with Classic Recipes,,20,10,24.00
122,book,Nicholas Dawidoff,Baseball: A Literary Anthology,,20,10,25.31
123,book,Cherrie Moraga,Loving in the War Years: Lo que nunca paso por sus labios,,20,10,16.28
124,book,Texas Bix Bender,Don't Squat With Your Spurs On: A Cowboy's Guide to Life,,20,10,7.99
125,book,Paula J. Carlson,Listening For God Reader Volume 3,,20,10,13.99
126,book,David Remnick,Fierce Pajamas: An Anthology of Humor Writing from the New Yorker,,20,10,16.24
127,book,William Harmon,The Top 500 Poems,,20,10,27.96
128,book,Harold Schechter,True Crime: An American Anthology,,20,10,40.00
129,book,Ruth Peltason,I Am Not My Breast Cancer: Women Talk Openly about Love and Sex  Hair Loss and Weight Gain  Mothers and Daughters  and Being a Woman with Breast Cancer,,20,10,15.95
130,book,Keith Gilyard,African American Literature (Penguin Academics Series),,20,10,42.47
131,book,George McMichael,Anthology of American Literature  Volume I,,20,10,1.99
132,book,Kirk Curnutt,The Heath Anthology of American Literature: Modern Period (1910?1945)  Volume D,,20,10,80.66
133,book,Elizabeth Schmidt,Poems of New York,,20,10,11.02
134,book,Sapphire,American Dreams,,20,10,13.68
135,book,Ted Shine,Black Theatre USA  V2: Plays by African Americans 1935-Today  Vol. 2,,20,10,19.27
136,book,Burton Raffel,The Signet Classic Book of American Short Stories,,20,10,7.75
137,book,Lawrence Buell,The American Transcendentalists: Essential Writings,,20,10,11.75
138,book,Jarvis Jay Masters,Finding Freedom: Writings from Death Row,,20,10,11.23
139,book,Lorrie Moore,The Best American Short Stories 2004,,20,10,28.95
140,book,Constance Rosenblum,New York Stories: The Best of the City Section of the New York Times,,20,10,11.95
141,book,Various,Black Voices: An Anthology of African-American Literature,,20,10,8.07
142,book,Cristina Garcia,Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,,20,10,13.95
143,book,Barbara Parisi,The Best American Short Plays 2007-2008,,20,10,18.99
144,book,Paula Geyh,Postmodern American Fiction: A Norton Anthology,,20,10,18.76
145,book,Lloyd Ultan,Bronx Accent: A Literary and Pictorial History of the Borough,,20,10,24.95
146,book,Brian Swann,Native American Songs and Poems: An Anthology,,20,10,2.99
147,book,William Nack,The Best American Sports Writing 2008,,20,10,13.58
148,book,Nat Benchley,The Lost Algonquin Round Table,,20,10,18.95
149,book,Will Eno,Thom Pain (based on nothing),,20,10,10.18
150,book,Mumia Abu-Jamal,Death Blossoms: Reflections from a Prisoner of Conscience,,20,10,12.00
151,book,Ann Kempner Fisher,B. O. O. B. S.: A Bunch of Outrageous Breast-Cancer Survivors Tell Their Stories of Courage  Hope and Healing,,20,10,13.50
152,book,Ilan Stavans,Becoming Americans: Four Centuries of Immigrant Writing,,20,10,40.00
153,book,Susan Richards Shreve,Dream Me Home Safely: Writers on Growing Up in America,,20,10,14.47
154,book,Michael Chabon,The Best American Short Stories 2005,,20,10,17.98
155,book,D.B. Wyndham Lewis,The Stuffed Owl: An Anthology of Bad Verse,,20,10,18.19
156,book,George Perkins,The American Tradition in Literature  Volume 2 (book alone),,20,10,104.07
157,book,Nicholas Coles,American Working-Class Literature: An Anthology,,20,10,57.22
158,book,Edwidge Danticat,The Butterfly's Way: Voices from the Haitian Dyaspora in the United States,,20,10,11.43
159,book,Susan Belasco,Bedford Anthology of American Literature: Volume Two: 1865 to Present,,20,10,59.78
160,book,Steven Biel,Titanica: The Disaster of the Century in Poetry  Song and Prose,,20,10,11.00
161,book,John Brandi,The Unswept Path: Contemporary American Haiku,,20,10,15.00
162,book,H. Bruce Franklin,The Vietnam War in American Stories  Songs  and Poems,,20,10,18.75
163,book,Adam Gopnik,The Best American Essays 2008,,20,10,11.92
164,book,Charles Wright,The Best American Poetry 2008,,20,10,16.00
165,book,Honor Moore,Poems from the Women's Movement,,20,10,18.88
166,book,Paula J. Carlson,Listening for God: Contemporary Literature And The Life Of Faith: Volume 2,,20,10,13.43
